sample_id	BioSample	GEO	drsc	target_FBgn	target_symbol	drsc_rep	rep	plate_id	well_id	plate_row	plate_column
SRX1750011	SAMN04959946	GSM2146272	DRSC30026	FBgn0035149	MED30	2	1	7	D10	D	10
SRX1750106	SAMN04960636	GSM2146367	DRSC30026	FBgn0035149	MED30	2	2	7	D10	D	10
SRX1749613	SAMN04960390	GSM2145876	DRSC23242	FBgn0260243	E(var)3-9	1	1	5	B5	B	5
SRX1749708	SAMN04960335	GSM2145971	DRSC23242	FBgn0260243	E(var)3-9	1	2	5	B5	B	5
SRX1748845	SAMN04959279	GSM2145112	DRSC00451	FBgn0031610	CG15436	1	1	1	B1	B	1
SRX1748941	SAMN04959205	GSM2145207	DRSC00451	FBgn0031610	CG15436	1	2	1	B1	B	1
SRX1748760	SAMN04959245	GSM2145027	DRSC40438	FBgn0004198	ct	2	2	10	C12	C	12
SRX1748665	SAMN04959385	GSM2144932	DRSC40438	FBgn0004198	ct	2	1	10	C12	C	12
SRX1749503	SAMN04960251	GSM2145767	DRSC16872	FBgn0003598	Su(var)3-7	1	2	4	A3	A	3
SRX1749408	SAMN04959601	GSM2145672	DRSC16872	FBgn0003598	Su(var)3-7	1	1	4	A3	A	3
SRX1750217	SAMN04960808	GSM2146477	DRSC37412	FBgn0035024	CG11414	2	1	8	E1	E	1
SRX1750312	SAMN04960722	GSM2146572	DRSC37412	FBgn0035024	CG11414	2	2	8	E1	E	1
SRX1749924	SAMN04960069	GSM2146186	DRSC27285	FBgn0039338	XNP	2	2	6	D7	D	7
SRX1749829	SAMN04959945	GSM2146091	DRSC27285	FBgn0039338	XNP	2	1	6	D7	D	7
SRX1749986	SAMN04959980	GSM2146247	DRSC02642	FBgn0032600	BuGZ	1	1	7	A8	A	8
SRX1750081	SAMN04960611	GSM2146342	DRSC02642	FBgn0032600	BuGZ	1	2	7	A8	A	8
SRX1748914	SAMN04959137	GSM2145180	DRSC09716	FBgn0035690	CG10274	1	1	1	H10	H	10
SRX1749009	SAMN04959564	GSM2145275	DRSC09716	FBgn0035690	CG10274	1	2	1	H10	H	10
SRX1749314	SAMN04959851	GSM2145579	DRSC06601	FBgn0033186	CG1602	1	2	3	A5	A	5
SRX1749219	SAMN04959786	GSM2145484	DRSC06601	FBgn0033186	CG1602	1	1	3	A5	A	5
SRX1749535	SAMN04960400	GSM2145799	DRSC22674	FBgn0033015	d4	1	2	4	D12	D	12
SRX1749440	SAMN04960432	GSM2145704	DRSC22674	FBgn0033015	d4	1	1	4	D12	D	12
SRX1749839	SAMN04959895	GSM2146101	DRSC26845	FBgn0035213	CG2199	2	1	6	E5	E	5
SRX1749934	SAMN04960079	GSM2146196	DRSC26845	FBgn0035213	CG2199	2	2	6	E5	E	5
SRX1749095	SAMN04959650	GSM2145361	DRSC11808	FBgn0037109	MED1	1	1	2	G1	G	1
SRX1749191	SAMN04959505	GSM2145456	DRSC11808	FBgn0037109	MED1	1	2	2	G1	G	1
SRX1750394	SAMN04960775	GSM2146654	DRSC04291	FBgn0263667	Lpt	1	1	9	D12	D	12
SRX1750490	SAMN04960990	GSM2146749	DRSC04291	FBgn0263667	Lpt	1	2	9	D12	D	12
SRX1749573	SAMN04960290	GSM2145836	DRSC16412	FBgn0037634	hng2	1	2	4	G1	G	1
SRX1749477	SAMN04960134	GSM2145741	DRSC16412	FBgn0037634	hng2	1	1	4	G1	G	1
SRX1749610	SAMN04960381	GSM2145873	DRSC23102	FBgn0034570	CG10543	2	1	5	B2	B	2
SRX1749705	SAMN04960332	GSM2145968	DRSC23102	FBgn0034570	CG10543	2	2	5	B2	B	2
SRX1749914	SAMN04960119	GSM2146176	DRSC27893	FBgn0015239	Hr78	2	2	6	C9	C	9
SRX1749819	SAMN04959935	GSM2146081	DRSC27893	FBgn0015239	Hr78	2	1	6	C9	C	9
SRX1749431	SAMN04959624	GSM2145695	DRSC16996	FBgn0027950	MBD-like	1	1	4	C3	C	3
SRX1749526	SAMN04960274	GSM2145790	DRSC16996	FBgn0027950	MBD-like	1	2	4	C3	C	3
SRX1750473	SAMN04960973	GSM2146732	DRSC37675	FBgn0003866	tsh	2	2	9	B6	B	6
SRX1750377	SAMN04960757	GSM2146637	DRSC37675	FBgn0003866	tsh	2	1	9	B6	B	6
SRX1749494	SAMN04960152	GSM2145758	DRSC18368	FBgn0029912	CG4557	1	1	4	H6	H	6
SRX1749590	SAMN04960367	GSM2145853	DRSC18368	FBgn0029912	CG4557	1	2	4	H6	H	6
SRX1748773	SAMN04959260	GSM2145040	DRSC07301	FBgn0086350	tef	1	2	10	D1	D	1
SRX1748678	SAMN04959392	GSM2144945	DRSC07301	FBgn0086350	tef	1	1	10	D1	D	1
SRX1749572	SAMN04960289	GSM2145835	DRSC22845	FBgn0030963	CG7101	2	2	4	G12	G	12
SRX1749476	SAMN04960133	GSM2145740	DRSC22845	FBgn0030963	CG7101	2	1	4	G12	G	12
SRX1750327	SAMN04960888	GSM2146587	DRSC37469	FBgn0032130	CG3838	2	2	8	F4	F	4
SRX1750232	SAMN04960732	GSM2146492	DRSC37469	FBgn0032130	CG3838	2	1	8	F4	F	4
SRX1748748	SAMN04959233	GSM2145015	DRSC35839	FBgn0036581	MED10	2	2	10	B11	B	11
SRX1748653	SAMN04959371	GSM2144920	DRSC35839	FBgn0036581	MED10	2	1	10	B11	B	11
SRX1750197	SAMN04960789	GSM2146458	DRSC37489	FBgn0037794	CG6254	2	1	8	C6	C	6
SRX1750293	SAMN04960703	GSM2146553	DRSC37489	FBgn0037794	CG6254	2	2	8	C6	C	6
SRX1750430	SAMN04960935	GSM2146689	DRSC38003	FBgn0042696	NfI	2	1	9	G11	G	11
SRX1750525	SAMN04960518	GSM2146784	DRSC38003	FBgn0042696	NfI	2	2	9	G11	G	11
SRX1750474	SAMN04960974	GSM2146733	DRSC09843	FBgn0036249	CG11560	1	2	9	B7	B	7
SRX1750378	SAMN04960758	GSM2146638	DRSC09843	FBgn0036249	CG11560	1	1	9	B7	B	7
SRX1749231	SAMN04959793	GSM2145496	DRSC06613	FBgn0033449	CG1663	1	1	3	B5	B	5
SRX1749326	SAMN04959862	GSM2145591	DRSC06613	FBgn0033449	CG1663	1	2	3	B5	B	5
SRX1748744	SAMN04959229	GSM2145011	DRSC37446	FBgn0033458	CG18446	2	2	10	A7	A	7
SRX1748648	SAMN04959367	GSM2144916	DRSC37446	FBgn0033458	CG18446	2	1	10	A7	A	7
SRX1748794	SAMN04959339	GSM2145061	DRSC35636	FBgn0029504	CHES-1-like	2	2	10	F10	F	10
SRX1748699	SAMN04959413	GSM2144966	DRSC35636	FBgn0029504	CHES-1-like	2	1	10	F10	F	10
SRX1749746	SAMN04960223	GSM2146009	DRSC25355	FBgn0026582	Hmg-2	2	2	5	E8	E	8
SRX1749651	SAMN04960338	GSM2145914	DRSC25355	FBgn0026582	Hmg-2	2	1	5	E8	E	8
SRX1750199	SAMN04960791	GSM2146460	DRSC37514	FBgn0036661	CG9705	2	1	8	C8	C	8
SRX1750295	SAMN04960705	GSM2146555	DRSC37514	FBgn0036661	CG9705	2	2	8	C8	C	8
SRX1749419	SAMN04959612	GSM2145683	DRSC16531	FBgn0037555	Ada2b	1	1	4	B2	B	2
SRX1749514	SAMN04960262	GSM2145778	DRSC16531	FBgn0037555	Ada2b	1	2	4	B2	B	2
SRX1748912	SAMN04959135	GSM2145178	DRSC05927	FBgn0015602	BEAF-32	1	1	1	G8	G	8
SRX1749007	SAMN04959562	GSM2145273	DRSC05927	FBgn0015602	BEAF-32	1	2	1	G8	G	8
SRX1749390	SAMN04959686	GSM2145654	DRSC11115	FBgn0015025	CkIIalpha-i1	1	2	3	G9	G	9
SRX1749294	SAMN04959831	GSM2145559	DRSC11115	FBgn0015025	CkIIalpha-i1	1	1	3	G9	G	9
SRX1750516	SAMN04960837	GSM2146775	DRSC37608	FBgn0002775	msl-3	2	2	9	F2	F	2
SRX1750420	SAMN04960679	GSM2146680	DRSC37608	FBgn0002775	msl-3	2	1	9	F2	F	2
SRX1750367	SAMN04960928	GSM2146627	DRSC15180	FBgn0038741	CG17186	1	1	9	A8	A	8
SRX1750463	SAMN04960959	GSM2146722	DRSC15180	FBgn0038741	CG17186	1	2	9	A8	A	8
SRX1749809	SAMN04959925	GSM2146071	DRSC28414	FBgn0260741	CG3281	2	1	6	C11	C	11
SRX1749904	SAMN04960109	GSM2146166	DRSC28414	FBgn0260741	CG3281	2	2	6	C11	C	11
SRX1749664	SAMN04960351	GSM2145927	DRSC24321	FBgn0003511	Sry-beta	2	1	5	F9	F	9
SRX1749760	SAMN04960236	GSM2146022	DRSC24321	FBgn0003511	Sry-beta	2	2	5	F9	F	9
SRX1750335	SAMN04960896	GSM2146595	DRSC37589	FBgn0017578	Max	2	2	8	G12	G	12
SRX1750240	SAMN04960740	GSM2146500	DRSC37589	FBgn0017578	Max	2	1	8	G12	G	12
SRX1749425	SAMN04959618	GSM2145689	DRSC18795	FBgn0014340	mof	1	1	4	B8	B	8
SRX1749520	SAMN04960268	GSM2145784	DRSC18795	FBgn0014340	mof	1	2	4	B8	B	8
SRX1750526	SAMN04960519	GSM2146785	DRSC03344	FBgn0004914	Hnf4	1	2	9	G12	G	12
SRX1750431	SAMN04960936	GSM2146690	DRSC03344	FBgn0004914	Hnf4	1	1	9	G12	G	12
SRX1749249	SAMN04959726	GSM2145514	DRSC15465	FBgn0037981	Spt3	1	1	3	D12	D	12
SRX1749345	SAMN04959881	GSM2145609	DRSC15465	FBgn0037981	Spt3	1	2	3	D12	D	12
SRX1749799	SAMN04960484	GSM2146061	DRSC28684	FBgn0015618	Cdk8	2	1	6	B12	B	12
SRX1749894	SAMN04960099	GSM2146156	DRSC28684	FBgn0015618	Cdk8	2	2	6	B12	B	12
SRX1748916	SAMN04959139	GSM2145182	DRSC10983	FBgn0001324	kto	1	1	1	H12	H	12
SRX1749011	SAMN04959566	GSM2145277	DRSC10983	FBgn0001324	kto	1	2	1	H12	H	12
SRX1749061	SAMN04959586	GSM2145327	DRSC15852	FBgn0038046	CG5641	1	1	2	D3	D	3
SRX1749157	SAMN04959469	GSM2145422	DRSC15852	FBgn0038046	CG5641	1	2	2	D3	D	3
SRX1748785	SAMN04959330	GSM2145052	DRSC16755	FBgn0024321	NK7.1	1	2	10	E1	E	1
SRX1748690	SAMN04959404	GSM2144957	DRSC16755	FBgn0024321	NK7.1	1	1	10	E1	E	1
SRX1749684	SAMN04960311	GSM2145947	DRSC22305	FBgn0261573	CoRest	2	1	5	H5	H	5
SRX1749780	SAMN04960466	GSM2146042	DRSC22305	FBgn0261573	CoRest	2	2	5	H5	H	5
SRX1750462	SAMN04960958	GSM2146721	DRSC08421	FBgn0035407	Asciz	1	2	9	A7	A	7
SRX1750366	SAMN04960927	GSM2146626	DRSC08421	FBgn0035407	Asciz	1	1	9	A7	A	7
SRX1749591	SAMN04960373	GSM2145854	DRSC18647	FBgn0040344	CG3711	1	2	4	H7	H	7
SRX1749495	SAMN04960153	GSM2145759	DRSC18647	FBgn0040344	CG3711	1	1	4	H7	H	7
SRX1749499	SAMN04960247	GSM2145763	DRSC06252	FBgn0050020	CG30020	1	2	4	A11	A	11
SRX1749404	SAMN04959700	GSM2145668	DRSC06252	FBgn0050020	CG30020	1	1	4	A11	A	11
SRX1749040	SAMN04959535	GSM2145306	DRSC16879	FBgn0011290	Taf12	1	1	2	B5	B	5
SRX1749136	SAMN04959763	GSM2145401	DRSC16879	FBgn0011290	Taf12	1	2	2	B5	B	5
SRX1749293	SAMN04959830	GSM2145558	DRSC11251	FBgn0016694	Pdp1	1	1	3	G8	G	8
SRX1749389	SAMN04959685	GSM2145653	DRSC11251	FBgn0016694	Pdp1	1	2	3	G8	G	8
SRX1749178	SAMN04959492	GSM2145443	DRSC20023	FBgn0030963	CG7101	1	2	2	F12	F	12
SRX1749082	SAMN04959637	GSM2145348	DRSC20023	FBgn0030963	CG7101	1	1	2	F12	F	12
SRX1748871	SAMN04959305	GSM2145138	DRSC03543	FBgn0001185	her	1	1	1	D4	D	4
SRX1748967	SAMN04959185	GSM2145233	DRSC03543	FBgn0001185	her	1	2	1	D4	D	4
SRX1750343	SAMN04960904	GSM2146603	DRSC37523	FBgn0000283	Cp190	2	2	8	G8	G	8
SRX1750248	SAMN04960748	GSM2146508	DRSC37523	FBgn0000283	Cp190	2	1	8	G8	G	8
SRX1748897	SAMN04959124	GSM2145164	DRSC06093	FBgn0050011	gem	1	1	1	F6	F	6
SRX1748993	SAMN04959548	GSM2145259	DRSC06093	FBgn0050011	gem	1	2	1	F6	F	6
SRX1748695	SAMN04959409	GSM2144962	DRSC31731	FBgn0029905	Nf-YC	2	1	10	E6	E	6
SRX1748790	SAMN04959335	GSM2145057	DRSC31731	FBgn0029905	Nf-YC	2	2	10	E6	E	6
SRX1749655	SAMN04960342	GSM2145918	DRSC24964	FBgn0003512	Sry-delta	2	1	5	F12	F	12
SRX1749750	SAMN04960227	GSM2146013	DRSC24964	FBgn0003512	Sry-delta	2	2	5	F12	F	12
SRX1749335	SAMN04959871	GSM2145599	DRSC03316	FBgn0011274	Dif	1	2	3	C2	C	2
SRX1749239	SAMN04959716	GSM2145504	DRSC03316	FBgn0011274	Dif	1	1	3	C2	C	2
SRX1749843	SAMN04959899	GSM2146105	DRSC28004	FBgn0015299	Ssb-c31a	1	1	6	E9	E	9
SRX1749938	SAMN04960083	GSM2146200	DRSC28004	FBgn0015299	Ssb-c31a	1	2	6	E9	E	9
SRX1750149	SAMN04960589	GSM2146410	DRSC29572	FBgn0011766	E2f1	2	2	7	G5	G	5
SRX1750054	SAMN04960500	GSM2146315	DRSC29572	FBgn0011766	E2f1	2	1	7	G5	G	5
SRX1750450	SAMN04960950	GSM2146709	DRSC14626	FBgn0039209	REPTOR	1	1	9	H7	H	7
SRX1750545	SAMN04960538	GSM2146804	DRSC14626	FBgn0039209	REPTOR	1	2	9	H7	H	7
SRX1750316	SAMN04960877	GSM2146576	DRSC37478	FBgn0261938	mtRNApol	2	2	8	E5	E	5
SRX1750221	SAMN04960812	GSM2146481	DRSC37478	FBgn0261938	mtRNApol	2	1	8	E5	E	5
SRX1750452	SAMN04960952	GSM2146711	DRSC27017	FBgn0036249	CG11560	2	1	9	H9	H	9
SRX1750547	SAMN04960540	GSM2146806	DRSC27017	FBgn0036249	CG11560	2	2	9	H9	H	9
SRX1750047	SAMN04960493	GSM2146308	DRSC30099	FBgn0000611	exd	2	1	7	G10	G	10
SRX1750142	SAMN04960582	GSM2146403	DRSC30099	FBgn0000611	exd	2	2	7	G10	G	10
SRX1749387	SAMN04959683	GSM2145651	DRSC06096	FBgn0034425	CG11906	1	2	3	G6	G	6
SRX1749291	SAMN04959828	GSM2145556	DRSC06096	FBgn0034425	CG11906	1	1	3	G6	G	6
SRX1749161	SAMN04959473	GSM2145426	DRSC16707	FBgn0015240	Hr96	1	2	2	D7	D	7
SRX1749065	SAMN04959590	GSM2145331	DRSC16707	FBgn0015240	Hr96	1	1	2	D7	D	7
SRX1749202	SAMN04959769	GSM2145467	DRSC20199	FBgn0030787	CG9609	1	2	2	H12	H	12
SRX1749106	SAMN04959734	GSM2145372	DRSC20199	FBgn0030787	CG9609	1	1	2	H12	H	12
SRX1748679	SAMN04959393	GSM2144946	DRSC11048	FBgn0052133	Ptip	2	1	10	D2	D	2
SRX1748774	SAMN04959261	GSM2145041	DRSC11048	FBgn0052133	Ptip	2	2	10	D2	D	2
SRX1748983	SAMN04959673	GSM2145249	DRSC07681	FBgn0003396	shn	2	2	1	E8	E	8
SRX1748887	SAMN04959321	GSM2145154	DRSC07681	FBgn0003396	shn	2	1	1	E8	E	8
SRX1749090	SAMN04959645	GSM2145356	DRSC17176	FBgn0085432	pan	1	1	2	F8	F	8
SRX1749186	SAMN04959500	GSM2145451	DRSC17176	FBgn0085432	pan	1	2	2	F8	F	8
SRX1748919	SAMN04959142	GSM2145185	DRSC03446	FBgn0003607	Su(var)205	1	1	1	H3	H	3
SRX1749014	SAMN04959569	GSM2145280	DRSC03446	FBgn0003607	Su(var)205	1	2	1	H3	H	3
SRX1749608	SAMN04960386	GSM2145871	DRSC23913	FBgn0003459	stwl	1	1	5	B12	B	12
SRX1749703	SAMN04960330	GSM2145966	DRSC23913	FBgn0003459	stwl	1	2	5	B12	B	12
SRX1750363	SAMN04960924	GSM2146623	DRSC37627	FBgn0038128	Ravus	2	1	9	A4	A	4
SRX1750459	SAMN04960963	GSM2146718	DRSC37627	FBgn0038128	Ravus	2	2	9	A4	A	4
SRX1749523	SAMN04960271	GSM2145787	DRSC21348	FBgn0020309	crol	1	2	4	C12	C	12
SRX1749428	SAMN04959621	GSM2145692	DRSC21348	FBgn0020309	crol	1	1	4	C12	C	12
SRX1749805	SAMN04959921	GSM2146067	DRSC26932	FBgn0020388	Gcn5	2	1	6	B6	B	6
SRX1749900	SAMN04960105	GSM2146162	DRSC26932	FBgn0020388	Gcn5	2	2	6	B6	B	6
SRX1750379	SAMN04960759	GSM2146639	DRSC15283	FBgn0261113	Xrp1	1	1	9	B8	B	8
SRX1750475	SAMN04960975	GSM2146734	DRSC15283	FBgn0261113	Xrp1	1	2	9	B8	B	8
SRX1749659	SAMN04960346	GSM2145922	DRSC23206	FBgn0039169	Spps	1	1	5	F4	F	4
SRX1749754	SAMN04960231	GSM2146017	DRSC23206	FBgn0039169	Spps	1	2	5	F4	F	4
SRX1750529	SAMN04960522	GSM2146788	DRSC37625	FBgn0263102	psq	2	2	9	G3	G	3
SRX1750434	SAMN04960690	GSM2146693	DRSC37625	FBgn0263102	psq	2	1	9	G3	G	3
SRX1750536	SAMN04960529	GSM2146795	DRSC29707	FBgn0266916	Cenp-C	2	2	9	H10	H	10
SRX1750441	SAMN04960941	GSM2146700	DRSC29707	FBgn0266916	Cenp-C	2	1	9	H10	H	10
SRX1750364	SAMN04960925	GSM2146624	DRSC37642	FBgn0022764	Sin3A	2	1	9	A5	A	5
SRX1750460	SAMN04960964	GSM2146719	DRSC37642	FBgn0022764	Sin3A	2	2	9	A5	A	5
SRX1749578	SAMN04960295	GSM2145841	DRSC18266	FBgn0029928	CG3032	1	2	4	G6	G	6
SRX1749482	SAMN04960139	GSM2145746	DRSC18266	FBgn0029928	CG3032	1	1	4	G6	G	6
SRX1750102	SAMN04960632	GSM2146363	DRSC29714	FBgn0036522	CG7372	2	2	7	C6	C	6
SRX1750007	SAMN04960001	GSM2146268	DRSC29714	FBgn0036522	CG7372	2	1	7	C6	C	6
SRX1749131	SAMN04959758	GSM2145396	DRSC19337	FBgn0025463	Bap60	1	2	2	B12	B	12
