samplename	SRX	BioSample	GEO	drsc	target_FBgn	target_symbol	drsc_rep	rep	plate_id	well_id	plate_row	plate_column
SRR3486891	SRX1748887	SAMN04959321	GSM2145154	DRSC07681	FBgn0003396	shn	2	1	1	E8	E	8
SRR3486986	SRX1748983	SAMN04959673	GSM2145249	DRSC07681	FBgn0003396	shn	2	2	1	E8	E	8
SRR3487576	SRX1749576	SAMN04960293	GSM2145839	DRSC15627	FBgn0038742	Arc42	2	2	4	G4	G	4
SRR3487481	SRX1749480	SAMN04960137	GSM2145744	DRSC15627	FBgn0038742	Arc42	2	1	4	G4	G	4
SRR3486819	SRX1748815	SAMN04959150	GSM2145082	DRSC32770	FBgn0011715	Snr1	2	2	10	G7	G	7
SRR3486724	SRX1748720	SAMN04959104	GSM2144987	DRSC32770	FBgn0011715	Snr1	2	1	10	G7	G	7
SRR3488246	SRX1750249	SAMN04960749	GSM2146509	DRSC37538	FBgn0024371	E2f2	2	1	8	G9	G	9
SRR3488341	SRX1750344	SAMN04960905	GSM2146604	DRSC37538	FBgn0024371	E2f2	2	2	8	G9	G	9
SRR3488418	SRX1750421	SAMN04960680	GSM2146681	DRSCNA	FBgnNA	LacZ	1	1	9	F3	F	3
SRR3486708	SRX1748704	SAMN04959088	GSM2144971	DRSCNA	FBgnNA	LacZ	1	1	10	F3	F	3
SRR3486993	SRX1748990	SAMN04959545	GSM2145256	DRSCNA	FBgnNA	LacZ	1	2	1	F3	F	3
SRR3487183	SRX1749181	SAMN04959495	GSM2145446	DRSCNA	FBgnNA	LacZ	1	2	2	F3	F	3
SRR3487563	SRX1749563	SAMN04960424	GSM2145826	DRSCNA	FBgnNA	LacZ	1	2	4	F3	F	3
SRR3487278	SRX1749276	SAMN04959813	GSM2145541	DRSCNA	FBgnNA	LacZ	1	1	3	F3	F	3
SRR3486898	SRX1748894	SAMN04959118	GSM2145161	DRSCNA	FBgnNA	LacZ	1	1	1	F3	F	3
SRR3488133	SRX1750135	SAMN04960574	GSM2146396	DRSCNA	FBgnNA	LacZ	1	2	7	F3	F	3
SRR3487658	SRX1749658	SAMN04960345	GSM2145921	DRSCNA	FBgnNA	LacZ	1	1	5	F3	F	3
SRR3487373	SRX1749372	SAMN04959443	GSM2145636	DRSCNA	FBgnNA	LacZ	1	2	3	F3	F	3
SRR3488038	SRX1750040	SAMN04959969	GSM2146301	DRSCNA	FBgnNA	LacZ	1	1	7	F3	F	3
SRR3487088	SRX1749085	SAMN04959640	GSM2145351	DRSCNA	FBgnNA	LacZ	1	1	2	F3	F	3
SRR3487753	SRX1749753	SAMN04960230	GSM2146016	DRSCNA	FBgnNA	LacZ	1	2	5	F3	F	3
SRR3487468	SRX1749467	SAMN04960126	GSM2145731	DRSCNA	FBgnNA	LacZ	1	1	4	F3	F	3
SRR3486803	SRX1748799	SAMN04959344	GSM2145066	DRSCNA	FBgnNA	LacZ	1	2	10	F3	F	3
SRR3488323	SRX1750326	SAMN04960887	GSM2146586	DRSCNA	FBgnNA	LacZ	1	2	8	F3	F	3
SRR3487848	SRX1749849	SAMN04959905	GSM2146111	DRSCNA	FBgnNA	LacZ	1	1	6	F3	F	3
SRR3488513	SRX1750517	SAMN04960838	GSM2146776	DRSCNA	FBgnNA	LacZ	1	2	9	F3	F	3
SRR3487943	SRX1749944	SAMN04960089	GSM2146206	DRSCNA	FBgnNA	LacZ	1	2	6	F3	F	3
SRR3488228	SRX1750231	SAMN04960731	GSM2146491	DRSCNA	FBgnNA	LacZ	1	1	8	F3	F	3
SRR3488210	SRX1750213	SAMN04960804	GSM2146473	DRSC37529	FBgn0267821	da	2	1	8	D9	D	9
SRR3488305	SRX1750308	SAMN04960718	GSM2146568	DRSC37529	FBgn0267821	da	2	2	8	D9	D	9
SRR3486866	SRX1748862	SAMN04959296	GSM2145129	DRSC06586	FBgn0033233	Kdm4A	1	1	1	C7	C	7
SRR3486961	SRX1748958	SAMN04959177	GSM2145224	DRSC06586	FBgn0033233	Kdm4A	1	2	1	C7	C	7
SRR3488267	SRX1750270	SAMN04960861	GSM2146530	DRSC37486	FBgn0038046	CG5641	2	2	8	A6	A	6
SRR3488172	SRX1750174	SAMN04960554	GSM2146435	DRSC37486	FBgn0038046	CG5641	2	1	8	A6	A	6
SRR3487167	SRX1749165	SAMN04959477	GSM2145430	DRSC03463	FBgn0013531	MED20	1	2	2	E11	E	11
SRR3487072	SRX1749069	SAMN04959594	GSM2145335	DRSC03463	FBgn0013531	MED20	1	1	2	E11	E	11
SRR3488421	SRX1750424	SAMN04960683	GSM2146684	DRSC07076	FBgn0033998	row	1	1	9	F6	F	6
SRR3488516	SRX1750520	SAMN04960841	GSM2146779	DRSC07076	FBgn0033998	row	1	2	9	F6	F	6
SRR3488078	SRX1750080	SAMN04960610	GSM2146341	DRSC29826	FBgn0030082	HP1b	2	2	7	A7	A	7
SRR3487983	SRX1749985	SAMN04959979	GSM2146246	DRSC29826	FBgn0030082	HP1b	2	1	7	A7	A	7
SRR3487263	SRX1749261	SAMN04959798	GSM2145526	DRSC15654	FBgn0037876	CG4820	1	1	3	E12	E	12
SRR3487358	SRX1749357	SAMN04959428	GSM2145621	DRSC15654	FBgn0037876	CG4820	1	2	3	E12	E	12
SRR3487015	SRX1749012	SAMN04959567	GSM2145278	DRSC00745	FBgn0250786	Chd1	1	2	1	H1	H	1
SRR3486920	SRX1748917	SAMN04959140	GSM2145183	DRSC00745	FBgn0250786	Chd1	1	1	1	H1	H	1
SRR3488175	SRX1750177	SAMN04960557	GSM2146438	DRSC37525	FBgn0004396	CrebA	2	1	8	A9	A	9
SRR3488270	SRX1750273	SAMN04960864	GSM2146533	DRSC37525	FBgn0004396	CrebA	2	2	8	A9	A	9
SRR3487884	SRX1749885	SAMN04960031	GSM2146147	DRSC26048	FBgn0038418	pad	2	2	6	A3	A	3
SRR3487789	SRX1749790	SAMN04960476	GSM2146052	DRSC26048	FBgn0038418	pad	2	1	6	A3	A	3
SRR3487330	SRX1749329	SAMN04959865	GSM2145593	DRSC06901	FBgn0034240	MESR4	1	2	3	B7	B	7
SRR3487235	SRX1749233	SAMN04959710	GSM2145498	DRSC06901	FBgn0034240	MESR4	1	1	3	B7	B	7
SRR3486934	SRX1748931	SAMN04959195	GSM2145197	DRSC03073	FBgn0032016	Mettl14	1	2	1	A3	A	3
SRR3486839	SRX1748835	SAMN04959270	GSM2145102	DRSC03073	FBgn0032016	Mettl14	1	1	1	A3	A	3
SRR3488206	SRX1750209	SAMN04960800	GSM2146469	DRSC37477	FBgn0031894	CG4496	2	1	8	D5	D	5
SRR3488301	SRX1750304	SAMN04960714	GSM2146564	DRSC37477	FBgn0031894	CG4496	2	2	8	D5	D	5
SRR3486868	SRX1748864	SAMN04959298	GSM2145131	DRSC06865	FBgn0034114	CG4282	1	1	1	C9	C	9
SRR3486963	SRX1748960	SAMN04959173	GSM2145226	DRSC06865	FBgn0034114	CG4282	1	2	1	C9	C	9
SRR3488162	SRX1750164	SAMN04960544	GSM2146425	DRSC16953	FBgn0004652	fru	1	2	7	H8	H	8
SRR3488067	SRX1750069	SAMN04960515	GSM2146330	DRSC16953	FBgn0004652	fru	1	1	7	H8	H	8
SRR3488250	SRX1750253	SAMN04960752	GSM2146513	DRSC37418	FBgn0039831	CG12054	2	1	8	H1	H	1
SRR3488345	SRX1750348	SAMN04960909	GSM2146608	DRSC37418	FBgn0039831	CG12054	2	2	8	H1	H	1
