samplename	Run	SRX	BioSample	GEO	drsc	time_point	target_FBgn	target_symbol	plate_id	plate_row	plate_column
SRR5010622	SRR5010622	SRX2341574	SAMN06009520	GSM2387784	DRSC36079	day1	FBgn0003964	usp	plate1	A	10
SRR5010623	SRR5010623	SRX2341575	SAMN06009519	GSM2387785	DRSC40711	day1	FBgn0000567	Eip74EF	plate1	A	11
SRR5010624	SRR5010624	SRX2341576	SAMN06009518	GSM2387786	DRSC37538	day1	FBgn0024371	E2f2	plate1	A	12
SRR5010625	SRR5010625	SRX2341577	SAMN06009517	GSM2387787	DRSC37534	day1	FBgn0011763	dpy	plate1	A	1
SRR5010626	SRR5010626	SRX2341578	SAMN06009516	GSM2387788	DRSC30795	day1	FBgn0001291	kay	plate1	A	2
SRR5010627	SRR5010627	SRX2341579	SAMN06009515	GSM2387789	DRSC31698	day1	FBgn0016076	vri	plate1	A	3
SRR5010628	SRR5010628	SRX2341580	SAMN06009514	GSM2387790	DRSC33100	day1	FBgn0266411	sima	plate1	A	4
SRR5010629	SRR5010629	SRX2341581	SAMN06009513	GSM2387791	DRSC35830	day1	FBgn0034534	maf-S	plate1	A	5
SRR5010630	SRR5010630	SRX2341582	SAMN06009512	GSM2387792	DRSC41069	day1	FBgn0032940	Mondo	plate1	A	6
SRR5010631	SRR5010631	SRX2341583	SAMN06009511	GSM2387793	DRSC31022	day1	FBgn0001297	kay	plate1	A	7
SRR5010632	SRR5010632	SRX2341584	SAMN06009510	GSM2387794	DRSC31684	day1	FBgn0013263	Trl	plate1	A	8
SRR5010633	SRR5010633	SRX2341585	SAMN06009509	GSM2387795	DRSC34303	day1	FBgn0003507	srp	plate1	A	9
SRR5010634	SRR5010634	SRX2341586	SAMN06009508	GSM2387796	DRSC25554	day1	FBgn0011656	Mef2	plate1	B	10
SRR5010635	SRR5010635	SRX2341587	SAMN06009507	GSM2387797	DRSC26287	day1	FBgn0032940	Mondo	plate1	B	11
SRR5010636	SRR5010636	SRX2341588	SAMN06009506	GSM2387798	DRSC31967	day1	FBgn0040305	MTF-1	plate1	B	12
SRR5010637	SRR5010637	SRX2341589	SAMN06009505	GSM2387799	DRSC31026	day1	FBgn0004606	zfh1	plate1	B	1
SRR5010638	SRR5010638	SRX2341590	SAMN06009501	GSM2387800	DRSC03320	day1	FBgn0024371	E2f2	plate1	B	2
SRR5010639	SRR5010639	SRX2341591	SAMN06009500	GSM2387801	DRSC03462	day1	FBgn0010287	Tsf1	plate1	B	3
SRR5010640	SRR5010640	SRX2341592	SAMN06009504	GSM2387802	DRSCNA	day1	FBgnNA	LacZ	plate1	B	4
SRR5010641	SRR5010641	SRX2341593	SAMN06009503	GSM2387803	DRSC23794	day1	FBgn0000567	Eip74EF	plate1	B	5
SRR5010642	SRR5010642	SRX2341594	SAMN06009502	GSM2387804	DRSC29116	day1	FBgn0003118	pnt	plate1	B	6
SRR5010643	SRR5010643	SRX2341595	SAMN06009499	GSM2387805	DRSC35831	day1	FBgn0034534	maf-S	plate1	B	7
SRR5010644	SRR5010644	SRX2341596	SAMN06009498	GSM2387806	DRSC03346	day1	FBgn0261239	Hr39	plate1	B	8
SRR5010645	SRR5010645	SRX2341597	SAMN06009497	GSM2387807	DRSC03740	day1	FBgn0003866	tsh	plate1	B	9
SRR5010646	SRR5010646	SRX2341598	SAMN06009496	GSM2387808	DRSC37552	day1	FBgn0001078	ftz-f1	plate1	C	10
SRR5010647	SRR5010647	SRX2341599	SAMN06009495	GSM2387809	DRSCNA	day1	FBgnNA	LacZ	plate1	C	11
SRR5010648	SRR5010648	SRX2341600	SAMN06009494	GSM2387810	DRSC37320	day1	FBgn0265784	CrebB	plate1	C	12
SRR5010649	SRR5010649	SRX2341601	SAMN06009493	GSM2387811	DRSC34422	day1	FBgn0004396	CrebA	plate1	C	1
SRR5010650	SRR5010650	SRX2341602	SAMN06009492	GSM2387812	DRSC40819	day1	FBgn0011763	dpy	plate1	C	2
SRR5010651	SRR5010651	SRX2341603	SAMN06009491	GSM2387813	DRSC04917	day1	FBgn0267978	ap	plate1	C	3
SRR5010652	SRR5010652	SRX2341604	SAMN06009490	GSM2387814	DRSC41279	day1	FBgn0000611	exd	plate1	C	4
SRR5010653	SRR5010653	SRX2341605	SAMN06009489	GSM2387815	DRSC25347	day1	FBgn0003117	pnr	plate1	C	5
SRR5010654	SRR5010654	SRX2341606	SAMN06009488	GSM2387816	DRSC26931	day1	FBgn0004606	zfh1	plate1	C	6
SRR5010655	SRR5010655	SRX2341607	SAMN06009487	GSM2387817	DRSCNA	day1	FBgn0260635	LacZ	plate1	C	7
SRR5010656	SRR5010656	SRX2341608	SAMN06009486	GSM2387818	DRSC29182	day1	FBgn0033846	mip120	plate1	C	8
SRR5010657	SRR5010657	SRX2341609	SAMN06009485	GSM2387819	DRSC40777	day1	FBgn0039044	betaTub60D	plate1	C	9
SRR5010658	SRR5010658	SRX2341610	SAMN06009484	GSM2387820	DRSC27330	day1	FBgn0001133	grau	plate1	D	10
SRR5010659	SRR5010659	SRX2341611	SAMN06009483	GSM2387821	DRSC29572	day1	FBgn0011766	E2f1	plate1	D	11
SRR5010660	SRR5010660	SRX2341612	SAMN06009482	GSM2387822	DRSC32152	day1	FBgn0033846	mip120	plate1	D	12
SRR5010661	SRR5010661	SRX2341613	SAMN06009481	GSM2387823	DRSC30999	day1	FBgn0011766	E2f1	plate1	D	1
SRR5010662	SRR5010662	SRX2341614	SAMN06009480	GSM2387824	DRSC08706	day1	FBgn0025725	alphaCOP	plate1	D	2
SRR5010663	SRR5010663	SRX2341615	SAMN06009479	GSM2387825	DRSC21341	day1	FBgn0040305	MTF-1	plate1	D	3
SRR5010664	SRR5010664	SRX2341616	SAMN06009582	GSM2387826	DRSC25219	day1	FBgn0259938	cwo	plate1	D	4
SRR5010665	SRR5010665	SRX2341617	SAMN06009581	GSM2387827	DRSC27078	day1	FBgn0003870	ttk	plate1	D	5
SRR5010666	SRR5010666	SRX2341618	SAMN06009580	GSM2387828	DRSC29336	day1	FBgn0003507	srp	plate1	D	6
SRR5010667	SRR5010667	SRX2341619	SAMN06009579	GSM2387829	DRSC11122	day1	FBgn0004396	CrebA	plate1	D	7
SRR5010668	SRR5010668	SRX2341620	SAMN06009578	GSM2387830	DRSC22973	day1	FBgn0016694	Pdp1	plate1	D	8
SRR5010669	SRR5010669	SRX2341621	SAMN06009577	GSM2387831	DRSC25045	day1	FBgn0013263	Trl	plate1	D	9
SRR5010670	SRR5010670	SRX2341622	SAMN06009576	GSM2387832	DRSC39162	day1	FBgn0000097	aop	plate1	E	10
SRR5010671	SRR5010671	SRX2341623	SAMN06009575	GSM2387833	DRSC18766	day1	FBgn0000520	dwg	plate1	E	11
SRR5010672	SRR5010672	SRX2341624	SAMN06009574	GSM2387834	DRSC37262	day1	FBgn0264075	tgo	plate1	E	12
SRR5010673	SRR5010673	SRX2341625	SAMN06009573	GSM2387835	DRSC34559	day1	FBgn0001222	Hsf	plate1	E	1
SRR5010674	SRR5010674	SRX2341626	SAMN06009572	GSM2387836	DRSCNA	day1	FBgnNA	LacZ	plate1	E	2
SRR5010675	SRR5010675	SRX2341627	SAMN06009570	GSM2387837	DRSC40784	day1	FBgn0267821	darky	plate1	E	3
SRR5010676	SRR5010676	SRX2341628	SAMN06009569	GSM2387838	DRSC37563	day1	FBgn0261283	SREBP	plate1	E	4
SRR5010677	SRR5010677	SRX2341629	SAMN06009568	GSM2387839	DRSC16977	day1	FBgn0001297	kay	plate1	E	5
SRR5010678	SRR5010678	SRX2341630	SAMN06009567	GSM2387840	DRSC23134	day1	FBgn0004050	z	plate1	E	6
SRR5010679	SRR5010679	SRX2341631	SAMN06009566	GSM2387841	DRSC24447	day1	FBgn0003964	usp	plate1	E	7
SRR5010680	SRR5010680	SRX2341632	SAMN06009565	GSM2387842	DRSC27606	day1	FBgn0001291	kay	plate1	E	8
SRR5010681	SRR5010681	SRX2341633	SAMN06009564	GSM2387843	DRSC29930	day1	FBgn0264075	tgo	plate1	E	9
SRR5010682	SRR5010682	SRX2341634	SAMN06009563	GSM2387844	DRSC26054	day1	FBgn0016076	vri	plate1	F	10
SRR5010683	SRR5010683	SRX2341635	SAMN06009562	GSM2387845	DRSC28794	day1	FBgn0266411	sima	plate1	F	11
SRR5010684	SRR5010684	SRX2341636	SAMN06009561	GSM2387846	DRSC31100	day1	FBgn0002914	Myb	plate1	F	12
SRR5010685	SRR5010685	SRX2341637	SAMN06009560	GSM2387847	DRSC37618	day1	FBgn0039044	betaTub60D	plate1	F	1
SRR5010686	SRR5010686	SRX2341638	SAMN06009559	GSM2387848	DRSC25100	day1	FBgn0004198	CG31751	plate1	F	2
SRR5010687	SRR5010687	SRX2341639	SAMN06009558	GSM2387849	DRSC25984	day1	FBgn0013799	Deaf1	plate1	F	3
SRR5010688	SRR5010688	SRX2341640	SAMN06009557	GSM2387850	DRSC27700	day1	FBgn0001222	Hsf	plate1	F	4
